,name,position,draft_year,height,college,birthPlace,birthDate,draft_team,draft_pick,highSchool
4349,T.J. Warren,Small Forward,2014,6-8,North Carolina State University,"Durham, North Carolina","September 5, 1993",Phoenix Suns,14th overall,"Brewster Academy in Wolfeboro, New Hampshire"
4350,Willie Warren,Point Guard,2010,6-4,University of Oklahoma,"Dallas, Texas","October 22, 1989",Los Angeles Clippers,54th overall,"North Crowley in Fort Worth, Texas"
4351,Bryan Warrick,Point Guard,1982,6-5,Saint Joseph's University,"Moses Lake, Washington","July 22, 1959",Washington Bullets,25th overall,"Township in Burlington, New Jersey"
4352,Hakim Warrick,Power Forward,2005,6-9,Syracuse University,"Philadelphia, Pennsylvania","July 8, 1982",Memphis Grizzlies,19th overall,"Friends Central in Wynnewood, Pennsylvania"
4353,Chris Washburn,Center,1986,6-11,North Carolina State University,"Hickory, North Carolina","May 13, 1965",Golden State Warriors,3rd overall,"Laurinburg Institute in Laurinburg, North Carolina"
4357,Donald Washington,Power Forward and Small Forward,1975,6-8,University of North Carolina,"Washington, District of Columbia","April 22, 1952",New York Knicks,80th overall,"Saint Anthony in Washington, District of Columbia"
4358,Duane Washington,Shooting Guard,1987,6-4,Middle Tennessee State University,"Eschwege, Germany","August 31, 1964",Washington Bullets,36th overall,"Parkview in Little Rock, Arkansas"
4359,Eric Washington,Shooting Guard,1997,6-4,University of Alabama,"Pearl, Mississippi","March 23, 1974",Orlando Magic,46th overall,"Pearl in Pearl, Mississippi"
4360,Jim Washington,Center and Small Forward and Power Forward,1965,6-6,Villanova University,"Philadelphia, Pennsylvania","July 1, 1943",St. Louis Hawks,6th overall,"West Catholic in Philadelphia, Pennsylvania"
4361,Kermit Washington,Power Forward,1973,6-8,American University,"Washington, District of Columbia","September 17, 1951",Los Angeles Lakers,5th overall,"Coolidge in Washington, District of Columbia"
4362,Pearl Washington,Point Guard,1986,6-2,Syracuse University,"Brooklyn, New York","January 6, 1964",New Jersey Nets,13th overall,"Boys and Girls in Brooklyn, New York"
4363,Richard Washington,Power Forward,1976,6-11,"University of California, Los Angeles","Portland, Oregon","July 15, 1955",Kansas City Kings,3rd overall,"Benson Polytechnic in Portland, Oregon"
4364,Stan Washington,Shooting Guard,1974,6-4,University of San Diego,"Washington, District of Columbia","January 23, 1952",Washington Bullets,66th overall,"Spingarn in Washington, District of Columbia"
4365,Trooper Washington,Center and Power Forward,1967,6-7,Cheyney University of Pennsylvania,"Philadelphia, Pennsylvania","April 21, 1944",Cincinnati Royals,50th overall,"Thomas Edison in Philadelphia, Pennsylvania"
4366,Wilson Washington,Power Forward,1977,6-9,Old Dominion University,"Norfolk, Virginia","August 3, 1955",Philadelphia 76ers,25th overall,"Booker T. Washington in Norfolk, Virginia"
4371,Earl Watson,Point Guard,2001,6-1,"University of California, Los Angeles","Kansas City, Kansas","June 12, 1979",Seattle SuperSonics,40th overall,"Washington in Kansas City, Kansas"
4372,Jamie Watson,Small Forward,1994,6-7,University of South Carolina,"Elm City, North Carolina","February 23, 1972",Utah Jazz,47th overall,"Wilson Fike in Wilson, North Carolina"
4379,Clarence Weatherspoon,Small Forward and Power Forward,1992,6-6,University of Southern Mississippi,"Crawford, Mississippi","September 8, 1970",Philadelphia 76ers,9th overall,"Motley in Columbus, Mississippi"
4380,Nick Weatherspoon,Small Forward,1973,6-7,University of Illinois at Urbana-Champaign,"Greenwood, Mississippi","July 20, 1950",Capital Bullets,13th overall,"McKinley in Canton, Ohio"
4381,Kyle Weaver,Shooting Guard,2008,6-6,Washington State University,"Janesville, Wisconsin","February 18, 1986",Charlotte Bobcats,38th overall,"Beloit Memorial in Beloit, Wisconsin"
4385,Spud Webb,Point Guard,1985,5-6,"Midland College, North Carolina State University","Dallas, Texas","July 13, 1963",Detroit Pistons,87th overall,"Wilmer-Hutchins in Dallas, Texas"
4386,Chris Webber,Center and Power Forward,1993,6-9,University of Michigan,"Detroit, Michigan","March 1, 1973",Orlando Magic,1st overall,"Detroit Country Day School in Beverly Hills, Michigan"
4389,Elnardo Webster,Small Forward,1969,6-5,Saint Peter's College,"Jersey City, New Jersey","March 6, 1948",New York Knicks,54th overall,"Lincoln in Jersey City, New Jersey"
4390,Jeff Webster,Small Forward,1994,6-8,University of Oklahoma,"Pine Bluff, Arkansas","February 19, 1971",Miami Heat,40th overall,"Carl Albert in Midwest City, Oklahoma"
4392,Marvin Webster,Center,1975,7-1,Morgan State University,"Baltimore, Maryland","April 13, 1952",Atlanta Hawks,3rd overall,"Edmondson in Baltimore, Maryland"
4393,Scott Wedman,Small Forward,1974,6-7,University of Colorado,"Harper, Kansas","July 29, 1952",Kansas City-Omaha Kings,6th overall,"Mullen in Denver, Colorado"
4394,Sonny Weems,Shooting Guard and Small Forward,2008,6-6,University of Arkansas,"West Memphis, Arkansas","July 8, 1986",Chicago Bulls,39th overall,"West Memphis in West Memphis, Arkansas"
4396,Brant Weidner,Power Forward,1983,6-9,College of William & Mary,"Orefield, Pennsylvania","October 28, 1960",San Antonio Spurs,90th overall,"Parkland in Orefield, Pennsylvania"
4397,Bob Weiss,Shooting Guard and Point Guard,1965,6-2,Pennsylvania State University,"Easton, Pennsylvania","May 7, 1942",Philadelphia 76ers,22nd overall,"Athens Area in Athens, Pennsylvania"
4399,Bonzi Wells,Small Forward and Shooting Guard,1998,6-5,Ball State University,"Muncie, Indiana","September 28, 1976",Detroit Pistons,11th overall,"Muncie Central in Muncie, Indiana"
4400,Bubba Wells,Shooting Guard,1997,6-5,Austin Peay State University,"Russellville, Kentucky","July 26, 1974",Dallas Mavericks,34th overall,"Russellville in Russellville, Kentucky"
4401,Owen Wells,Small Forward,1974,6-7,University of Detroit Mercy,"Providence, Rhode Island","December 9, 1950",Houston Rockets,77th overall,"English in Boston, Massachusetts"
4403,Chris Welp,Center,1987,7-0,University of Washington,"Delmenhorst, Germany","January 2, 1964",Philadelphia 76ers,16th overall,"Olympic in Silverdale, Washington"
4405,Thomas Welsh,Center,2018,7-0,"University of California, Los Angeles","Torrance, California","February 3, 1996",Denver Nuggets,58th overall,"Loyola HS in Los Angeles, California"
4406,Bill Wennington,Center,1985,7-0,St. John's University,"Montreal, Canada","April 26, 1963",Dallas Mavericks,16th overall,"Long Island Lutheran in Brookville, New York"
4408,Robert Werdann,Center,1992,6-11,St. John's University,"Sunnyside, New York","September 12, 1970",Denver Nuggets,46th overall,"Archbishop Molloy in Jamaica, New York"
4411,Walt Wesley,Center,1966,6-11,University of Kansas,"Fort Myers, Florida","January 25, 1945",Cincinnati Royals,6th overall,"Dunbar in Fort Myers, Florida"
4412,David West,Small Forward and Center and Power Forward,2003,6-9,Xavier University,"Teaneck, New Jersey","August 29, 1980",New Orleans Hornets,18th overall,"Garner in Garner, North Carolina"
4413,Delonte West,Point Guard and Shooting Guard,2004,6-4,Saint Joseph's University,"Washington, District of Columbia","July 26, 1983",Boston Celtics,24th overall,"Eleanor Roosevelt in Greenbelt, Maryland"
4414,Doug West,Shooting Guard,1989,6-6,Villanova University,"Altoona, Pennsylvania","May 27, 1967",Minnesota Timberwolves,38th overall,"Altoona Area in Altoona, Pennsylvania"
4415,Jerry West,Shooting Guard and Point Guard,1960,6-2,West Virginia University,"Chelyan, West Virginia","May 28, 1938",Los Angeles Lakers,2nd overall,"East Bank in East Bank, West Virginia"
4417,Mark West,Center,1983,6-10,Old Dominion University,"Petersburg, Virginia","November 5, 1960",Dallas Mavericks,30th overall,"Petersburg in Petersburg, Virginia"
4420,Russell Westbrook,Point Guard,2008,6-3,"University of California, Los Angeles","Long Beach, California","November 12, 1988",Seattle SuperSonics,4th overall,"Leuzinger in Lawndale, California"
4421,Paul Westphal,Point Guard and Shooting Guard,1972,6-4,University of Southern California,"Torrance, California","November 30, 1950",Boston Celtics,10th overall,"Aviation in Redondo Beach, California"
4422,John Wetzel,Small Forward and Shooting Guard,1966,6-5,Virginia Polytechnic Institute and State University,"Waynesboro, Virginia","October 22, 1944",Los Angeles Lakers,75th overall,"Wilson Memorial in Fisherville, Virginia"
4423,Robert Whaley,Center,2005,6-10,"Barton County Community College, University of Cincinnati, Walsh University","Benton Harbor, Michigan","April 16, 1982",Utah Jazz,51st overall,"Benton Harbor in Benton Harbor, Michigan"
4424,Ennis Whatley,Point Guard,1983,6-3,University of Alabama,"Birmingham, Alabama","August 11, 1962",Kansas City Kings,13th overall,"Phillips in Birmingham, Alabama"
4425,DeJuan Wheat,Point Guard,1997,6-0,University of Louisville,"Louisville, Kentucky","October 14, 1973",Los Angeles Lakers,51st overall,"Ballard in Louisville, Kentucky"
4426,Clinton Wheeler,Point Guard,1981,6-1,William Paterson University,"Neptune, New Jersey","October 27, 1959",Kansas City Kings,150th overall,"Long Branch in Long Branch, New Jersey"
4427,Tyson Wheeler,Point Guard,1998,5-10,University of Rhode Island,"New Britain, Connecticut","October 8, 1975",Toronto Raptors,47th overall,"New London in New London, Connecticut"
4430,D.J. White,Power Forward and Center,2008,6-9,Indiana University,"Tuscaloosa, Alabama","August 31, 1986",Detroit Pistons,29th overall,"Hillcrest in Tuscaloosa, Alabama"
4431,Derrick White,Point Guard,2017,6-4,University of Colorado,"Parker, Colorado","July 2, 1994",San Antonio Spurs,29th overall,"Legend in Parker, Colorado"
4432,Eric White,Small Forward,1987,6-8,Pepperdine University,"San Francisco, California","December 30, 1965",Detroit Pistons,65th overall,"Sacred Heart in San Francisco, California"
4435,Jahidi White,Power Forward and Center,1998,6-9,Georgetown University,"St. Louis, Missouri","February 19, 1976",Washington Wizards,43rd overall,"Cardinal Ritter in St. Louis, Missouri"
4436,James White,Small Forward and Shooting Guard,2006,6-7,"University of Florida, University of Cincinnati","Washington, District of Columbia","October 21, 1982",Portland Trail Blazers,31st overall,"Hargrave Military Academy in Chatham, Virginia"
4437,Jo Jo White,Point Guard,1969,6-3,University of Kansas,"St. Louis, Missouri","November 16, 1946",Boston Celtics,9th overall,"McKinley in St. Louis, Missouri"
4439,Randy White,Power Forward,1989,6-8,Louisiana Tech University,"Shreveport, Louisiana","November 4, 1967",Dallas Mavericks,8th overall,"Huntington in Shreveport, Louisiana"
4440,Rodney White,Small Forward and Shooting Guard,2001,6-9,University of North Carolina at Charlotte,"Philadelphia, Pennsylvania","June 28, 1980",Detroit Pistons,9th overall,"Newport School in Silver Spring, Maryland"
4441,Rory White,Small Forward and Power Forward,1982,6-8,University of South Alabama,"Tuskegee, Alabama","August 16, 1959",Phoenix Suns,86th overall,"Tuskegee in Tuskegee, Alabama"
4442,Royce White,Power Forward,2012,6-8,Iowa State University,"Minneapolis, Minnesota","April 10, 1991",Houston Rockets,16th overall,"Hopkins in Hopkins, Minnesota"
4443,Rudy White,Shooting Guard,1975,6-2,Arizona State University,"Silver City, New Mexico","June 23, 1953",Houston Rockets,47th overall,"Union in Phoenix, Arizona"
4444,Tony White,Point Guard,1987,6-2,University of Tennessee,"Charlotte, North Carolina","February 15, 1965",Chicago Bulls,33rd overall,"Independence in Charlotte, North Carolina"
4445,Willie White,Shooting Guard,1984,6-3,University of Tennessee at Chattanooga,"Memphis, Tennessee","August 20, 1962",Denver Nuggets,42nd overall,"Carver in Memphis, Tennessee"
4446,Isaiah Whitehead,Point Guard,2016,6-4,Seton Hall University,"Brooklyn, New York","March 8, 1995",Utah Jazz,42nd overall,"Abraham Lincoln in Brooklyn, New York"
4447,Jerome Whitehead,Center,1978,6-10,Marquette University,"Waukegan, Illinois","September 30, 1956",San Diego Clippers,41st overall,"Waukegan in Waukegan, Illinois"
4449,Hassan Whiteside,Center,2010,7-0,Marshall University,"Gastonia, North Carolina","June 13, 1989",Sacramento Kings,33rd overall,"The Patterson School in Patterson, North Carolina"
4450,Dwayne Whitfield,Power Forward,1995,6-9,Jackson State University,"Aberdeen, Mississippi","August 21, 1972",Golden State Warriors,40th overall,"Aberdeen in Aberdeen, Mississippi"
4451,Chris Whitney,Point Guard,1993,6-0,Clemson University,"Hopkinsville, Kentucky","October 5, 1971",San Antonio Spurs,47th overall,"Christian County in Hopkinsville, Kentucky"
4453,Hawkeye Whitney,Shooting Guard,1980,6-5,North Carolina State University,"Washington, District of Columbia","June 22, 1957",Kansas City Kings,16th overall,"DeMatha Catholic in Hyattsville, Maryland"
4455,Sidney Wicks,Power Forward,1971,6-8,"University of California, Los Angeles","Los Angeles, California","September 19, 1949",Portland Trail Blazers,2nd overall,"Hamilton in Los Angeles, California"
4456,Ron Widby,Forward,1967,6-4,University of Tennessee,"Knoxville, Tennessee","March 9, 1945",Chicago Bulls,126th overall,"Fulton in Knoxville, Tennessee"
4459,Andrew Wiggins,Small Forward,2014,6-8,University of Kansas,"Toronto, Canada","February 23, 1995",Cleveland Cavaliers,1st overall,"Huntington Prep in Huntington, West Virginia"
4460,Mitchell Wiggins,Shooting Guard,1983,6-4,"Clemson University, Florida State University","Lenoir County, North Carolina","September 28, 1959",Indiana Pacers,23rd overall,"North Lenoir in La Grange, North Carolina"
4461,Ken Wilburn,Small Forward,1966,6-6,Central State University,"River Rouge, Michigan","June 8, 1944",Philadelphia 76ers,39th overall,"River Rouge in River Rouge, Michigan"
4462,C.J. Wilcox,Shooting Guard,2014,6-5,University of Washington,"Pleasant Grove, Utah","December 30, 1990",Los Angeles Clippers,28th overall,"Pleasant Grove in Pleasant Grove, Utah"
4463,Chris Wilcox,Center and Power Forward,2002,6-10,University of Maryland,"Raleigh, North Carolina","September 3, 1982",Los Angeles Clippers,8th overall,"Enloe in Raleigh, North Carolina"
4467,Michael Wiley,Power Forward,1980,6-9,"California State University, Long Beach","Long Beach, California","October 16, 1957",San Antonio Spurs,39th overall,"Long Beach Polytechnic in Long Beach, California"
4468,Morlon Wiley,Point Guard,1988,6-4,"California State University, Long Beach","New Orleans, Louisiana","September 24, 1966",Dallas Mavericks,46th overall,"Long Beach Polytechnic in Long Beach, California"
4470,Lenny Wilkens,Point Guard,1960,6-1,Providence College,"Brooklyn, New York","October 28, 1937",St. Louis Hawks,6th overall,"Boys in Brooklyn, New York"
4471,Bob Wilkerson,Small Forward and Shooting Guard,1976,6-6,Indiana University,"Anderson, Indiana","August 15, 1954",Seattle SuperSonics,11th overall,"Madison Heights in Anderson, Indiana"
4472,Jamaal Wilkes,Power Forward and Small Forward,1974,6-6,"University of California, Los Angeles","Berkeley, California","May 2, 1953",Golden State Warriors,11th overall,"Santa Barbara in Santa Barbara, California"
4473,James Wilkes,Small Forward,1980,6-7,"University of California, Los Angeles","Nashville, Tennessee","April 1, 1958",Chicago Bulls,50th overall,"Dorsey in Los Angeles, California"
4475,Dominique Wilkins,Small Forward,1982,6-8,University of Georgia,"Paris, France","January 12, 1960",Utah Jazz,3rd overall,"Washington in Washington, North Carolina"
4476,Eddie Lee Wilkins,Center and Power Forward,1984,6-10,Gardner-Webb University,"Cartersville, Georgia","May 7, 1962",New York Knicks,133rd overall,"Cass in Cartersville, Georgia"
4477,Gerald Wilkins,Small Forward and Shooting Guard,1985,6-6,University of Tennessee at Chattanooga,"Atlanta, Georgia","September 11, 1963",New York Knicks,47th overall,"Mays Academy in Atlanta, Georgia"
4478,Jeff Wilkins,Center,1977,6-11,Illinois State University,"Chicago, Illinois","March 9, 1955",San Antonio Spurs,37th overall,"Elgin in Elgin, Illinois"
4479,Dale Wilkinson,Power Forward and Small Forward,1982,6-10,Idaho State University,"Pocatello, Idaho","March 18, 1960",Phoenix Suns,221st overall,"Highland in Pocatello, Idaho"
4484,Alvin Williams,Shooting Guard and Point Guard,1997,6-5,Villanova University,"Philadelphia, Pennsylvania","August 6, 1974",Portland Trail Blazers,47th overall,"Germantown Academy in Philadelphia, Pennsylvania"
4486,Bernie Williams,Shooting Guard,1969,6-3,La Salle University,"Washington, District of Columbia","December 30, 1945",San Diego Rockets,21st overall,"DeMatha Catholic in Hyattsville, Maryland"
